t	v
0.0	-80.0
0.00110579612867	-79.9954254988
0.00343510624524	-79.9867557964
0.00794287293277	-79.9718293247
0.0124506396203	-79.9580400457
0.0206945384194	-79.9344801741
0.0336638917571	-79.9004545129
0.0595332460839	-79.8391172934
0.0854026004106	-79.7836539743
0.111271954737	-79.7317694195
0.137141309064	-79.6824049512
0.181149878943	-79.6026515902
0.254367699859	-79.4791685907
0.327585520774	-79.3649638606
0.440621743437	-79.2020331107
0.5536579661	-79.0512369376
0.760734324237	-78.7977301685
0.967810682373	-78.5646727951
1.17488704051	-78.3468105892
1.38196339865	-78.1416154319
1.58903975678	-77.9472610297
1.94057308962	-77.6381141816
2.29210642246	-77.3502163099
2.64363975531	-77.0795953921
3.18394909589	-76.6918149602
3.72425843647	-76.3327600547
4.53784811088	-75.8373385115
5.78340857883	-75.1658121455
7.02896904678	-74.5848548686
8.27452951472	-74.0843197804
9.52008998267	-73.6534208809
10.7656504506	-73.2848079746
12.0112109186	-72.9703694557
14.0140857541	-72.5662999383
16.0169605897	-72.2682738656
18.0198354252	-72.0593983115
20.0227102608	-71.923899595
22.0255850963	-71.8475904234
24.0284599319	-71.8191449609
26.0313347674	-71.828544012
28.034209603	-71.8674777934
31.2403094259	-71.9755433258
34.4464092489	-72.12033865
37.6525090718	-72.2862726366
40.8586088948	-72.4610541955
44.0647087177	-72.6360144284
47.2708085406	-72.8082341588
50.4769083636	-72.9716939354
53.6830081865	-73.1230089851
56.8891080094	-73.2652667514
60.0952078324	-73.3926896138
63.3013076553	-73.505638331
66.5074074783	-73.611539629
69.7135073012	-73.7044227825
72.9196071241	-73.7860113291
76.1257069471	-73.8564252223
79.33180677	-73.911405374
82.5379065929	-73.9619239036
85.7440064159	-74.0060205636
88.9501062388	-74.0398167959
92.1562060618	-74.0720355324
95.3623058847	-74.0990914859
98.5684057076	-74.1188685019
101.774505531	-74.1374064863
104.980605354	-74.151067549
108.186705176	-74.1600025011
111.392804999	-74.1718677445
114.598904822	-74.180933742
117.805004645	-74.1872700855
121.011104468	-74.19257703
124.217204291	-74.1930129591
127.423304114	-74.194679765
130.629403937	-74.19837882
133.83550376	-74.1964113971
137.041603583	-74.1979006793
140.247703406	-74.2012350306
143.453803229	-74.1966141429
146.659903052	-74.1994067072
149.866002875	-74.2028219956
153.072102698	-74.1951120952
156.278202521	-74.1901064027
159.484302343	-74.1901384113
162.690402166	-74.1958581753
165.896501989	-74.198202388
169.102601812	-74.1975799975
172.308701635	-74.2006864469
175.514801458	-74.1993004049
178.720901281	-74.1987622797
181.927001104	-74.2032635207
185.133100927	-74.1992146318
188.33920075	-74.1972040641
191.545300573	-74.1986514002
194.751400396	-74.1966492132
197.957500219	-74.1997693367
201.163600042	-74.201498141
204.369699865	-74.1972755657
207.575799688	-74.2023706542
210.78189951	-74.2027327635
213.987999333	-74.1972270095
217.194099156	-74.2054968886
220.400198979	-74.2024642845
223.606298802	-74.2003358537
226.812398625	-74.2008341405
230.018498448	-74.1936821967
233.224598271	-74.1912271365
236.430698094	-74.194239724
239.636797917	-74.1945616281
242.84289774	-74.199053335
246.048997563	-74.2014398306
249.255097386	-74.1973394902
252.461197209	-74.2026380377
255.667297032	-74.2041315627
258.873396855	-74.1981119933
262.079496677	-74.2065324271
264.218865096	-74.2125199835
266.358233514	-74.2125958851
268.497601933	-74.21090606
270.636970351	-74.209488964
272.77633877	-74.2082666911
274.915707188	-74.2082651543
277.055075607	-74.2077722946
279.194444025	-74.2064380179
281.333812444	-74.2065624221
283.473180862	-74.2062970672
285.612549281	-74.2053436656
287.751917699	-74.2058185764
291.078730958	-74.2056058109
294.405544217	-74.2012321711
297.732357477	-74.1947991087
301.059170736	-74.1941333066
304.385983995	-74.1971771031
307.712797254	-74.2010832936
311.039610513	-74.2044042545
314.366423772	-74.204704837
317.693237031	-74.2048456545
321.020050291	-74.2063671536
324.34686355	-74.2054367695
327.673676809	-74.2060111568
331.000490068	-74.2078464019
334.327303327	-74.2051198236
337.654116586	-74.206378797
340.980929845	-74.2086017946
344.307743105	-74.2037073939
347.634556364	-74.2071374916
350.961369623	-74.2092533262
354.288182882	-74.2011220596
357.614996141	-74.1960859458
360.9418094	-74.187519465
364.26862266	-74.185654495
367.595435919	-74.1992704842
370.922249178	-74.1973268408
373.018748631	-74.1920451709
375.115248084	-74.1921469323
377.211747536	-74.1932710761
379.308246989	-74.1957348128
381.404746442	-74.199458797
385.541994633	-74.2046891851
389.679242824	-74.1986787086
393.816491015	-74.1979726506
397.953739206	-74.2013542269
402.090987397	-74.2016217362
406.228235588	-74.2045719264
410.365483779	-74.2076978383
414.50273197	-74.2060059445
418.639980161	-74.2070203915
422.777228352	-74.2089386879
426.914476543	-74.2066290655
431.051724733	-74.2071480512
435.188972924	-74.2087797933
439.326221115	-74.2063556982
443.463469306	-74.2066770149
447.600717497	-74.2082767072
454.266133572	-74.208638679
460.931549647	-74.2081174643
472.582972882	-74.2065335535
484.234396118	-74.2064315185
495.885819353	-74.2058795918
517.795558559	-74.2049170491
531.0	-74.2060330456
531.0	-74.2060330456
531.000551547	-74.2145719216
531.001509718	-74.2284164906
531.003339668	-74.2526387147
531.005169618	-74.2752872993
531.008541553	-74.3144706837
531.013870909	-74.371432951
531.023398567	-74.4635264035
531.032926224	-74.5467316855
531.042453882	-74.6239688955
531.05198154	-74.6968121655
531.066694201	-74.8029993258
531.081406863	-74.9028147819
531.096119524	-74.9974939135
531.122139508	-75.1552246399
531.148159492	-75.3022270007
531.189023268	-75.5156815658
531.229887044	-75.7118592906
531.299716373	-76.0161784369
531.369545702	-76.2910577285
531.439375031	-76.5433205321
531.50920436	-76.7769969754
531.579033689	-76.994929342
531.694600919	-77.3264949674
531.810168149	-77.6285682643
531.925735379	-77.9067819487
532.107027835	-78.3038545061
532.288320291	-78.6619885577
532.469612746	-78.9885555406
532.80710364	-79.5304752541
533.144594533	-80.0048226324
533.482085427	-80.4259413845
533.81957632	-80.805259389
534.157067214	-81.1517080708
534.494558107	-81.4715036337
535.04109647	-81.9435329783
535.587634834	-82.3690674442
536.134173197	-82.7563734841
536.68071156	-83.1119052332
537.227249924	-83.4405685856
538.073387383	-83.904105089
538.919524843	-84.3196927215
539.765662303	-84.6928274553
540.611799763	-85.027806247
541.457937223	-85.3282460145
542.897384749	-85.7681316395
545.099691296	-86.2897361512
547.301997842	-86.6548045568
549.504304389	-86.8881726235
551.706610935	-87.0121697029
553.908917482	-87.0471392723
556.111224028	-87.0106049075
558.313530575	-86.9171566837
562.240693221	-86.6486640575
566.167855868	-86.2986030313
570.095018514	-85.9126445125
574.022181161	-85.5236302744
577.949343808	-85.1535987129
581.876506454	-84.8163261756
585.803669101	-84.5183626127
589.730831747	-84.2618768337
593.657994394	-84.0464759968
597.58515704	-83.8693987862
601.512319687	-83.7268287221
605.439482333	-83.6144589244
611.925439627	-83.4826977314
618.411396922	-83.4030916647
624.897354216	-83.3576860627
631.38331151	-83.3353783228
637.869268804	-83.3284043495
644.355226099	-83.3287273995
650.841183393	-83.332485289
657.327140687	-83.3379836337
663.813097981	-83.3426795874
670.299055276	-83.3461099751
680.786616918	-83.3499287273
691.27417856	-83.3508670091
711.316155113	-83.3518685472
731.358131667	-83.3494418419
743.147181328	-83.3476826018
754.936230988	-83.3465618836
774.690286772	-83.345256006
813.934762029	-83.3436983892
853.179237287	-83.3438058086
892.423712545	-83.3429518462
931.0	-83.3425044166
931.0	-83.3425044166
931.000551559	-83.333965992
931.00150977	-83.320122452
931.003339826	-83.2959033822
931.005169882	-83.2732592917
931.00854189	-83.2340880901
931.013871097	-83.1771533445
931.023397007	-83.0851352958
931.032922916	-83.00201552
931.042448826	-82.9248714514
931.051974736	-82.8521268591
931.066680663	-82.7461274963
931.081386591	-82.6465031847
931.096092518	-82.5520174449
931.122081644	-82.3947429915
931.14807077	-82.2481862603
931.188863686	-82.0355285312
931.229656603	-81.8401200444
931.299411622	-81.5368878464
931.369166642	-81.2631095613
931.438921662	-81.0119737733
931.508676681	-80.7794508763
931.578431701	-80.5627015252
931.693905056	-80.2330861147
931.80937841	-79.9330700859
931.924851765	-79.6570203784
932.10619537	-79.2631430464
932.287538975	-78.9085228585
932.46888258	-78.5857512875
932.806208578	-78.0519363007
933.143534576	-77.586325768
933.480860574	-77.1745113138
933.818186573	-76.804935878
934.155512571	-76.4686513746
934.492838569	-76.1594049745
935.03630034	-75.7073369035
935.579762111	-75.3020788008
936.123223882	-74.9354536211
936.666685652	-74.6010488081
937.210147423	-74.2938887075
938.049695594	-73.8650815657
938.889243764	-73.4845100568
939.728791934	-73.1465347733
940.568340105	-72.8465999595
941.407888275	-72.5806958716
942.814902109	-72.2025143241
944.936557162	-71.7686933914
947.058212216	-71.4697540277
949.179867269	-71.2797786731
951.301522322	-71.1776093015
953.423177376	-71.1430273257
955.544832429	-71.1599172272
957.666487482	-71.2174986285
959.788142535	-71.3053531213
961.909797589	-71.4153763588
964.031452642	-71.5421638366
966.153107695	-71.678771405
968.274762748	-71.8212661245
970.396417802	-71.967994583
972.518072855	-72.1141308684
974.639727908	-72.2583632945
976.761382962	-72.4006442825
978.883038015	-72.5368385983
981.004693068	-72.6678818813
983.126348121	-72.7943040721
985.248003175	-72.9121019869
987.369658228	-73.0233582019
989.491313281	-73.1289280976
991.612968334	-73.2272179869
993.734623388	-73.3192084522
995.856278441	-73.4043013488
997.977933494	-73.4817985183
1000.09958855	-73.5541637264
1002.2212436	-73.6205681147
1004.34289865	-73.6804372694
1006.46455371	-73.7361113759
1008.58620876	-73.7862316854
1010.70786381	-73.8310750264
1012.82951887	-73.8728981936
1014.95117392	-73.9097493512
1017.07282897	-73.942594072
1019.19448403	-73.9732584454
1021.31613908	-73.9995288263
1023.43779413	-74.023118279
1025.55944919	-74.0451270374
1027.68110424	-74.063297719
1029.80275929	-74.0795066642
1031.92441435	-74.0945633893
1034.0460694	-74.1076183316
1036.16772445	-74.1193104188
1038.28937951	-74.1294441758
1040.41103456	-74.1377638753
1042.53268961	-74.1455296658
1044.65434467	-74.1523631903
1046.77599972	-74.157876502
1048.89765477	-74.1630822494
1051.01930983	-74.1674536315
1053.14096488	-74.1709212483
1055.26261993	-74.1744221638
1057.38427499	-74.1772038986
1059.50593004	-74.179357434
1061.62758509	-74.1817005029
1063.74924015	-74.1833893056
1065.8708952	-74.1847223322
1067.99255025	-74.1863423029
1070.11420531	-74.1873232623
1072.23586036	-74.1881459051
1074.35751541	-74.1892441819
1076.47917047	-74.1900167578
1078.60082552	-74.1905922972
1080.72248057	-74.1912353566
1082.84413563	-74.19155668
1084.96579068	-74.1919656866
1087.08744573	-74.1925815551
1089.20910078	-74.1928269959
1091.33075584	-74.1931639939
1093.45241089	-74.1936554026
1096.69869836	-74.1942865962
1099.94498584	-74.1946091767
1103.19127331	-74.194698398
1106.43756078	-74.1950862278
1112.22314093	-74.1957775204
1118.00872107	-74.1965874754
1129.14827795	-74.1978854992
1131.0	-74.198140421
1131.0	-74.198140421
