t	v
0.0	-80.0
0.00493569941317	-79.9989601155
0.00987139882634	-79.9966317455
0.019641419775	-79.9898045858
0.0294114407237	-79.9816921562
0.0474173504067	-79.964813245
0.0760361193506	-79.9342289542
0.131382308812	-79.8668268788
0.186728498273	-79.7918709541
0.242074687734	-79.7122428257
0.297420877196	-79.6295169422
0.388974199624	-79.4884829901
0.480527522052	-79.3435725061
0.572080844481	-79.1961794059
0.73353447187	-78.933006906
0.89498809926	-78.668150036
1.14125177328	-78.2654402751
1.38751544729	-77.8684425441
1.63377912131	-77.4798534612
1.88004279533	-77.1011123651
2.12630646935	-76.733097999
2.52111027675	-76.1667561174
2.91591408415	-75.6308197552
3.31071789155	-75.1258340491
3.95759487321	-74.3645441562
4.60447185487	-73.6828423197
5.58426849165	-72.7924576826
7.2644201553	-71.6196486806
8.94457181895	-70.8146609335
10.6247234826	-70.2910269767
12.3048751462	-69.9822462316
13.9850268099	-69.8290948954
15.6651784735	-69.7920446673
17.3453301372	-69.8441449909
19.0254818008	-69.9501780675
20.7056334645	-70.0956333847
22.3857851281	-70.2750948485
23.5365738303	-70.4079311805
24.6873625324	-70.5432541273
25.8381512345	-70.6814175616
26.9889399366	-70.8227181011
28.1397286388	-70.9653933023
29.2905173409	-71.1071909402
30.441306043	-71.246613084
31.5920947451	-71.3829580987
32.7428834473	-71.5167107942
33.8936721494	-71.6478119279
35.0444608515	-71.7748461634
36.1952495536	-71.8978015168
37.3460382557	-72.0172018435
38.4968269579	-72.1317641896
39.64761566	-72.2419583407
40.7984043621	-72.3487530116
41.9491930642	-72.4502214815
43.0999817664	-72.5471280655
43.8937300954	-72.6123706584
44.6874784244	-72.6760571898
45.4812267534	-72.7376147637
46.2749750824	-72.7967045036
47.0687234114	-72.8531760056
48.3781166998	-72.9415147667
49.6875099882	-73.0253404918
50.9969032766	-73.1052908117
52.306296565	-73.1804686736
53.6156898534	-73.2500996251
54.9250831418	-73.3144050447
57.0573770499	-73.4093594929
59.189670958	-73.4934472195
61.321964866	-73.5678792593
63.4542587741	-73.6342185132
65.5865526822	-73.6930948656
67.7188465903	-73.7447007933
69.8511404983	-73.7900912777
71.9834344064	-73.8299001929
75.3299131479	-73.8823534741
80.9045283481	-73.9481894193
86.4791435484	-73.9904569281
92.0537587486	-74.0193608619
97.6283739489	-74.0351059451
102.215277224	-74.0441555451
106.802180499	-74.0496864991
111.389083774	-74.0528136418
115.975987049	-74.0551533867
120.562890324	-74.0564320786
128.89949569	-74.0561109266
141.851535994	-74.0588012687
154.803576298	-74.0569684559
167.755616602	-74.0570201686
180.707656907	-74.0623548545
193.659697211	-74.0584271528
206.611737515	-74.0590388877
219.563777819	-74.0688087356
225.255369807	-74.0663548637
230.946961794	-74.0642854229
236.638553781	-74.0624245681
247.98397114	-74.0606982951
259.329388499	-74.0597368935
270.674805858	-74.0602943577
282.020223217	-74.060684299
311.782011755	-74.0595964702
341.543800294	-74.0619382602
371.305588832	-74.0584999146
382.891213482	-74.0612099805
394.476838133	-74.0602887947
406.062462783	-74.0608119537
417.648087433	-74.0618130595
436.377719823	-74.0602336787
455.107352213	-74.0618801184
473.836984603	-74.0610601208
492.566616993	-74.0587261517
511.296249383	-74.0620704052
515.97865748	-74.0613522678
520.661065578	-74.060985203
529.486008742	-74.0610116054
531.0	-74.0609749262
531.0	-74.0609749262
531.001572929	-74.0873932653
531.003145859	-74.1116056929
531.005557234	-74.146294559
531.009661084	-74.2003220329
531.016927397	-74.2870523295
531.02419371	-74.3662561145
531.031460023	-74.4407265452
531.042477557	-74.547394524
531.053495091	-74.647691622
531.070325891	-74.7915420858
531.08715669	-74.9258654169
531.112748053	-75.1155730737
531.138339415	-75.2911574592
531.186768208	-75.5936000963
531.235197001	-75.8669675956
531.283625794	-76.1181970411
531.332054587	-76.3511605721
531.380483379	-76.5686060221
531.460775375	-76.9004228153
531.54106737	-77.2032546701
531.621359365	-77.482762265
531.745032394	-77.876112625
531.868705423	-78.2330889609
531.992378452	-78.5606315721
532.224168627	-79.1124166514
532.455958803	-79.6002647495
532.687748978	-80.0370728836
532.919539154	-80.4330344078
533.15132933	-80.7962768594
533.503531818	-81.297681796
533.855734306	-81.7489516296
534.207936794	-82.1582930644
534.560139283	-82.5320184063
534.912341771	-82.8753184224
535.494928152	-83.3866920355
536.077514534	-83.8381166863
536.660100915	-84.2378049766
537.242687296	-84.5919199386
537.825273677	-84.9056272377
538.776702826	-85.3418469563
539.728131976	-85.6954773254
540.679561125	-85.9769043914
542.109177542	-86.2831999476
543.538793959	-86.4715667269
544.968410376	-86.5625579653
546.398026793	-86.5737111279
547.82764321	-86.52050669
549.257259627	-86.4163410247
551.616367303	-86.1626790491
553.97547498	-85.8426224289
556.334582656	-85.4884107346
558.693690332	-85.1249239677
561.052798008	-84.7697041319
563.411905685	-84.4345407479
565.771013361	-84.1267435788
568.130121037	-83.8496913911
570.489228713	-83.6047893726
572.848336389	-83.3915657654
575.207444066	-83.2079042754
577.566551742	-83.0519257171
579.925659418	-82.9205594135
582.284767094	-82.8102450022
584.64387477	-82.7185824796
587.002982447	-82.643105649
589.362090123	-82.5817181548
591.721197799	-82.5329036689
594.080305475	-82.4933328523
596.439413151	-82.4613945953
598.086750543	-82.4437712859
599.734087935	-82.4292555877
601.381425327	-82.4166651967
603.028762718	-82.4052929356
604.67610011	-82.3949780491
606.323437502	-82.3860915074
607.970774894	-82.3788564443
609.618112286	-82.3727966784
611.265449677	-82.3675979266
612.912787069	-82.3631708365
614.560124461	-82.3592305511
616.207461853	-82.3558607164
617.854799244	-82.3530888549
619.502136636	-82.3505315218
621.149474028	-82.3482844699
622.79681142	-82.346409861
624.444148811	-82.3445565977
626.091486203	-82.3429308714
627.738823595	-82.3415828426
629.386160987	-82.3401001407
631.033498379	-82.3385152131
632.68083577	-82.3368637728
634.328173162	-82.3351434142
635.975510554	-82.3337081048
637.622847946	-82.3326970879
639.270185337	-82.3318556019
640.917522729	-82.331178669
