t	v
0.0	-80.0
0.00493569941317	-79.9989601155
0.00987139882634	-79.9966317455
0.019641419775	-79.9898045858
0.0294114407237	-79.9816921562
0.0474173504067	-79.964813245
0.0760361193506	-79.9342289542
0.131382308812	-79.8668268788
0.186728498273	-79.7918709541
0.242074687734	-79.7122428257
0.297420877196	-79.6295169422
0.388974199624	-79.4884829901
0.480527522052	-79.3435725061
0.572080844481	-79.1961794059
0.73353447187	-78.933006906
0.89498809926	-78.668150036
1.14125177328	-78.2654402751
1.38751544729	-77.8684425441
1.63377912131	-77.4798534612
1.88004279533	-77.1011123651
2.12630646935	-76.733097999
2.52111027675	-76.1667561174
2.91591408415	-75.6308197552
3.31071789155	-75.1258340491
3.95759487321	-74.3645441562
4.60447185487	-73.6828423197
5.58426849165	-72.7924576826
7.2644201553	-71.6196486806
8.94457181895	-70.8146609335
10.6247234826	-70.2910269767
12.3048751462	-69.9822462316
13.9850268099	-69.8290948954
15.6651784735	-69.7920446673
17.3453301372	-69.8441449909
19.0254818008	-69.9501780675
20.7056334645	-70.0956333847
22.3857851281	-70.2750948485
23.5365738303	-70.4079311805
24.6873625324	-70.5432541273
25.8381512345	-70.6814175616
26.9889399366	-70.8227181011
28.1397286388	-70.9653933023
29.2905173409	-71.1071909402
30.441306043	-71.246613084
31.5920947451	-71.3829580987
32.7428834473	-71.5167107942
33.8936721494	-71.6478119279
35.0444608515	-71.7748461634
36.1952495536	-71.8978015168
37.3460382557	-72.0172018435
38.4968269579	-72.1317641896
39.64761566	-72.2419583407
40.7984043621	-72.3487530116
41.9491930642	-72.4502214815
43.0999817664	-72.5471280655
43.8937300954	-72.6123706584
44.6874784244	-72.6760571898
45.4812267534	-72.7376147637
46.2749750824	-72.7967045036
47.0687234114	-72.8531760056
48.3781166998	-72.9415147667
49.6875099882	-73.0253404918
50.9969032766	-73.1052908117
52.306296565	-73.1804686736
53.6156898534	-73.2500996251
54.9250831418	-73.3144050447
57.0573770499	-73.4093594929
59.189670958	-73.4934472195
61.321964866	-73.5678792593
63.4542587741	-73.6342185132
65.5865526822	-73.6930948656
67.7188465903	-73.7447007933
69.8511404983	-73.7900912777
71.9834344064	-73.8299001929
75.3299131479	-73.8823534741
80.9045283481	-73.9481894193
86.4791435484	-73.9904569281
92.0537587486	-74.0193608619
97.6283739489	-74.0351059451
102.215277224	-74.0441555451
106.802180499	-74.0496864991
111.389083774	-74.0528136418
115.975987049	-74.0551533867
120.562890324	-74.0564320786
128.89949569	-74.0561109266
141.851535994	-74.0588012687
154.803576298	-74.0569684559
167.755616602	-74.0570201686
180.707656907	-74.0623548545
193.659697211	-74.0584271528
206.611737515	-74.0590388877
219.563777819	-74.0688087356
225.255369807	-74.0663548637
230.946961794	-74.0642854229
236.638553781	-74.0624245681
247.98397114	-74.0606982951
259.329388499	-74.0597368935
270.674805858	-74.0602943577
282.020223217	-74.060684299
311.782011755	-74.0595964702
341.543800294	-74.0619382602
371.305588832	-74.0584999146
382.891213482	-74.0612099805
394.476838133	-74.0602887947
406.062462783	-74.0608119537
417.648087433	-74.0618130595
436.377719823	-74.0602336787
455.107352213	-74.0618801184
473.836984603	-74.0610601208
492.566616993	-74.0587261517
511.296249383	-74.0620704052
515.97865748	-74.0613522678
520.661065578	-74.060985203
529.486008742	-74.0610116054
531.0	-74.0609749262
531.0	-74.0609749262
531.001572929	-74.0345564758
531.003145859	-74.0103439375
531.005557235	-73.9756549024
531.009661084	-73.9216271452
531.016927397	-73.8348963807
531.02419371	-73.7556921797
531.031460022	-73.6812214188
531.042477537	-73.5745533991
531.053495051	-73.4742567062
531.070325751	-73.3304088003
531.087156451	-73.1960901299
531.112747961	-73.0063930346
531.138339471	-72.8308282684
531.18676701	-72.5284649299
531.235194549	-72.255230017
531.283622088	-72.0041983874
531.332049627	-71.7715088166
531.380477167	-71.5544201386
531.460776591	-71.2233509893
531.541076016	-70.9215279774
531.62137544	-70.6432973075
531.745079932	-70.2523749856
531.868784425	-69.8984613271
531.992488917	-69.5745905651
532.224124991	-69.0317054705
532.455761065	-68.5544803374
532.687397139	-68.129912427
532.919033213	-67.7475683326
533.150669287	-67.3992169281
533.503109591	-66.9220489327
533.855549895	-66.4974070694
534.2079902	-66.1166418717
534.560430504	-65.7730911794
534.912870809	-65.4612346427
535.490113894	-65.0079586656
536.06735698	-64.6147322175
536.644600065	-64.2724511815
537.221843151	-63.9741735173
537.799086236	-63.7139608661
538.713378051	-63.3678041118
539.627669866	-63.0896822436
540.541961681	-62.8686316741
541.456253496	-62.695905034
542.370545311	-62.5637693208
543.821195623	-62.4218561721
545.271845936	-62.3455493375
546.722496248	-62.3197466852
548.173146561	-62.3330078989
549.623796873	-62.3755910783
551.074447185	-62.4396437877
552.525097498	-62.5196522466
553.97574781	-62.6101453042
555.426398123	-62.7075917297
556.877048435	-62.8100575751
558.327698748	-62.9147007237
559.77834906	-63.0201429112
561.228999372	-63.125690528
562.679649685	-63.2277659049
564.130299997	-63.3266977813
565.58095031	-63.424107967
567.031600622	-63.5198180239
568.482250935	-63.6119717443
569.932901247	-63.6986614709
571.383551559	-63.7816718786
572.834201872	-63.8617119405
574.284852184	-63.9378967604
575.735502497	-64.0103967171
577.186152809	-64.0788091382
578.636803122	-64.1418856628
580.087453434	-64.2023752926
581.538103746	-64.2604519679
582.988754059	-64.3130100468
584.439404371	-64.3655136682
585.432281677	-64.4023233715
586.425158983	-64.4364039579
587.418036289	-64.4676409138
588.410913596	-64.4971477124
589.403790902	-64.5243318351
590.396668208	-64.5506520039
591.389545514	-64.5770891754
592.38242282	-64.6018333658
593.375300126	-64.625842445
594.368177432	-64.6498214123
595.361054738	-64.6714894491
596.353932044	-64.692687705
597.34680935	-64.7143707429
598.339686656	-64.7332521634
599.332563962	-64.7520574439
600.015110762	-64.7665291056
600.697657561	-64.7805560708
601.380204361	-64.7932544365
602.062751161	-64.8051725769
602.74529796	-64.816240287
603.42784476	-64.8266275336
604.110391559	-64.8370142906
