t	v
0.0	-70.0
0.00245258795664	-70.002436972
0.00690909242263	-70.00603106
0.014256827484	-70.0109075492
0.0216045625455	-70.0151008603
0.0353228559163	-70.0218132187
0.0490411492871	-70.0273872823
0.0870179504952	-70.0387611378
0.124994751703	-70.045609481
0.162971552911	-70.0494153024
0.20094835412	-70.0510952963
0.238925155328	-70.0512585692
0.306395303497	-70.0492810576
0.373865451666	-70.0452434485
0.484420653034	-70.0365746077
0.594975854401	-70.0265196184
0.765191179941	-70.0104125661
0.935406505481	-69.9948428919
1.19478615257	-69.9732206107
1.45416579966	-69.9546328177
1.71354544675	-69.9387913333
1.97292509384	-69.9252200548
2.37155326752	-69.9080339583
2.7701814412	-69.894462781
3.16880961488	-69.88376244
3.56743778856	-69.8753287068
4.19753274661	-69.8655064944
4.82762770466	-69.8587683701
5.45772266271	-69.8541426469
6.08781762075	-69.8510126849
6.7179125788	-69.8489464112
7.34800753685	-69.8475826359
7.9781024949	-69.8466429926
8.60819745295	-69.8459411527
9.23829241099	-69.8453693245
9.86838736904	-69.8448820209
10.4984823271	-69.8444358836
11.1285772851	-69.8439378183
11.7586722432	-69.8432976618
12.3887672012	-69.8424863365
13.0188621593	-69.841537915
13.6489571173	-69.8405571645
14.2790520754	-69.8395926016
14.6823769338	-69.8389195741
15.0857017921	-69.8381126627
15.4890266505	-69.837183264
15.8923515089	-69.8362207876
16.2956763673	-69.8353009706
16.6990012257	-69.8344401185
17.102326084	-69.833605585
17.5056509424	-69.8327529363
17.9089758008	-69.8318652724
18.3123006592	-69.8309537858
18.7156255176	-69.8300317883
19.1189503759	-69.8291055643
19.5222752343	-69.8281736445
19.9256000927	-69.8272283608
20.3289249511	-69.8262691127
20.7322498095	-69.8253017873
21.1355746678	-69.824323078
21.5388995262	-69.8233212564
21.9422243846	-69.8222887359
22.345549243	-69.8212291667
22.7488741014	-69.8201588619
23.1521989597	-69.8190990573
23.5555238181	-69.8180601421
23.9588486765	-69.8170348224
24.3621735349	-69.8160072874
24.7654983933	-69.8149693577
25.1688232516	-69.8139270083
25.57214811	-69.8128923941
25.9754729684	-69.8118738562
26.3787978268	-69.8108737775
26.7821226852	-69.8098881658
27.1854475435	-69.8089112728
27.5887724019	-69.8079442337
27.9920972603	-69.8069901315
28.3954221187	-69.8060476897
28.7987469771	-69.8051180286
29.2020718354	-69.804201482
29.6053966938	-69.8032932831
30.0087215522	-69.8023959069
30.2766451972	-69.8018104156
30.5445688421	-69.8012305367
30.8124924871	-69.8006474956
31.0804161321	-69.8000592532
31.3483397771	-69.7994743042
31.616263422	-69.7989026014
31.884187067	-69.7983476305
32.3234376293	-69.7974685816
32.7626881916	-69.7966140583
33.2019387539	-69.7957730233
33.6411893163	-69.794943575
34.0804398786	-69.7941246928
34.5196904409	-69.7933122545
34.9589410032	-69.7925038914
35.3981915655	-69.7917009309
35.8374421278	-69.7909087933
36.2766926901	-69.7901352719
36.7159432524	-69.789382157
37.1551938148	-69.7886460387
37.5944443771	-69.787928969
38.0336949394	-69.7872369862
38.4729455017	-69.7865706934
38.912196064	-69.7859234779
39.3514466263	-69.7852843727
39.7906971886	-69.7846466524
40.2299477509	-69.7840167141
40.6691983133	-69.7834025732
41.1084488756	-69.7828009851
41.5476994379	-69.7822094993
41.9869500002	-69.7816407755
42.4262005625	-69.7811118115
43.2032002789	-69.7802640247
43.9801999953	-69.7794920722
44.7571997117	-69.7787393193
45.5341994281	-69.7779723263
46.3111991445	-69.7771920419
47.0881988609	-69.7764253797
47.8651985773	-69.7756983034
48.6421982937	-69.7750266454
49.9677745618	-69.7740404719
51.2933508298	-69.7732218386
